neo_id,neo_reference_id,name,nasa_jpl_url,absolute_magnitude_h,diameter_min_km,diameter_max_km,velocity_kms,miss_distance_km,approach_date,approach_date_full,orbiting_body,is_hazardous,is_sentry,created_at
54016489,54016489,(2020 GA2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54016489,21.14,0.1572370824,0.3515928047,30.0366565688,44561001.638214916,2025-10-07,2025-Oct-07 22:58,Earth,true,false,2025-10-03 13:34:50.502954
54016533,54016533,(2020 GE3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54016533,26.1,0.0160160338,0.0358129403,9.0636858456,43423122.091538064,2025-10-23,2025-Oct-23 15:34,Earth,false,false,2025-10-03 19:19:00.208277
54016668,54016668,(2020 HN3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54016668,29.4,0.0035039264,0.0078350176,17.6567248807,68031585.54955624,2025-11-12,2025-Nov-12 20:10,Earth,false,true,2025-10-03 19:19:01.670502
54016809,54016809,(2020 HW7),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54016809,27.1,0.0101054342,0.0225964377,20.1215159036,56506068.47119508,2025-11-14,2025-Nov-14 22:45,Earth,false,true,2025-10-03 19:19:01.670502
54017094,54017094,(2020 KA1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54017094,26.7,0.0121494041,0.0271668934,10.7730306397,35581476.437746964,2025-11-03,2025-Nov-03 00:53,Earth,false,false,2025-10-03 19:19:00.869599
54017226,54017226,(2020 JR3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54017226,24.0,0.0421264611,0.0941976306,17.685041164,65599884.634208806,2025-11-13,2025-Nov-13 13:17,Earth,false,false,2025-10-03 19:19:01.670502
54017405,54017405,(2020 LR),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54017405,24.1,0.040230458,0.0899580388,5.0161406506,59800896.797027156,2025-11-02,2025-Nov-02 07:28,Earth,false,false,2025-10-03 19:19:01.670502
54017543,54017543,(2020 LF2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54017543,24.0,0.0421264611,0.0941976306,15.5280580407,45260484.50717847,2025-11-26,2025-Nov-26 17:00,Earth,false,false,2025-10-03 19:19:02.427056
54017652,54017652,(2020 MK3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54017652,25.8,0.0183888672,0.0411187571,13.0947676574,62188993.269302085,2025-10-08,2025-Oct-08 00:08,Earth,false,false,2025-10-03 13:34:50.502954
54017684,54017684,(2020 MX3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54017684,23.69,0.0485909037,0.1086525639,4.7768525539,24636181.145849,2025-11-27,2025-Nov-27 23:40,Earth,false,false,2025-10-03 19:19:03.299427
54049357,54049357,(2020 OQ3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54049357,22.72,0.0759547566,0.1698399991,13.0423943289,65393929.13263838,2025-11-25,2025-Nov-25 21:08,Earth,false,false,2025-10-03 19:19:02.427056
54049874,54049874,(2020 KA11),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54049874,22.56,0.0817626533,0.1828268509,6.9695125428,71394537.61879084,2025-11-25,2025-Nov-25 11:22,Earth,false,false,2025-10-03 19:19:02.427056
54051126,54051126,(2020 PH5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54051126,22.37,0.0892390579,0.1995445996,13.191491371,39032939.35834895,2025-10-11,2025-Oct-11 06:01,Earth,false,false,2025-10-03 19:15:37.148944
54051291,54051291,(2020 QW2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54051291,20.6,0.2016299194,0.4508582062,21.5787552506,42875160.29287166,2025-10-05,2025-Oct-05 04:32,Earth,false,false,2025-10-03 13:34:50.502954
54051399,54051399,(2020 QU5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54051399,25.68,0.0194336768,0.0434550225,13.6340013055,2713951.15110041,2025-10-09,2025-Oct-09 00:26,Earth,false,false,2025-10-03 13:34:50.502954
54053743,54053743,(2020 RS),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54053743,25.4,0.022108281,0.0494356193,6.3183307862,20524744.273428753,2025-10-12,2025-Oct-12 02:24,Earth,false,false,2025-10-03 19:15:37.148944
54054405,54054405,(2020 SB),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54054405,20.31,0.2304384666,0.5152760759,13.7484045457,37682424.615608305,2025-10-14,2025-Oct-14 05:38,Earth,false,false,2025-10-03 19:15:36.514855
54055119,54055119,(2020 TQ3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54055119,26.5,0.0133215567,0.0297879063,18.420602078,60209055.27223714,2025-10-08,2025-Oct-08 09:59,Earth,false,false,2025-10-03 13:34:51.30468
54075592,54075592,(2020 UW2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54075592,25.0,0.02658,0.0594346868,10.8678738,31887214.67815627,2025-10-24,2025-Oct-24 12:37,Earth,false,false,2025-10-03 19:19:00.869599
54087667,54087667,(2020 VF2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54087667,23.6,0.0506471459,0.1132504611,13.6511518355,70854044.08986992,2025-11-22,2025-Nov-22 12:40,Earth,false,false,2025-10-03 19:19:03.299427
54087786,54087786,(2020 VK4),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54087786,28.1,0.0063760979,0.0142573883,3.8287638425,6278732.318977858,2025-11-10,2025-Nov-10 23:40,Earth,false,false,2025-10-03 19:19:01.670502
54087860,54087860,(2020 VZ5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54087860,21.08,0.1616422833,0.3614431336,12.4613308939,16472289.577610211,2025-11-27,2025-Nov-27 15:41,Earth,true,false,2025-10-03 19:19:03.299427
54088811,54088811,(2020 WL),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54088811,24.5,0.0334622374,0.0748238376,8.9109270821,20208174.416324396,2025-11-05,2025-Nov-05 20:15,Earth,false,false,2025-10-03 19:19:00.869599
54093082,54093082,(2020 WR3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54093082,25.0,0.02658,0.0594346868,18.6976655065,43703919.1036623,2025-11-19,2025-Nov-19 01:18,Earth,false,false,2025-10-03 19:19:02.427056
54098026,54098026,(2020 XR1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54098026,23.8,0.046190746,0.1032856481,18.7126950161,72965126.4463191,2025-11-11,2025-Nov-11 12:51,Earth,false,false,2025-10-03 19:19:01.670502
